transcript,KO
Transcript_12136.p1,
Transcript_12137.p1,
Transcript_12138.p1,
Transcript_12139.p2,
Transcript_1214.p1,
Transcript_12140.p1,
Transcript_12142.p1,
Transcript_12143.p1,
Transcript_12144.p2,
Transcript_12145.p2,
Transcript_12146.p1,
Transcript_12147.p2,
Transcript_12148.p1,
Transcript_12149.p2,
Transcript_1215.p2,
Transcript_12150.p1,
Transcript_12151.p1,
Transcript_12152.p1,K12489
Transcript_12153.p2,
Transcript_12154.p2,
Transcript_12155.p2,K14959
Transcript_12156.p1,
Transcript_12157.p1,
Transcript_12159.p2,
Transcript_1216.p2,K14347
Transcript_12160.p2,K00286
Transcript_12161.p1,
Transcript_12162.p1,
Transcript_12163.p2,
Transcript_12164.p1,
Transcript_12165.p1,
Transcript_12166.p2,K00784
Transcript_12167.p2,K00939
Transcript_12168.p1,
Transcript_12169.p1,K12735
Transcript_1217.p1,
Transcript_12170.p1,K21867
Transcript_12171.p1,K08678
Transcript_12172.p3,
Transcript_12173.p1,
Transcript_12174.p1,
Transcript_12175.p1,
Transcript_12177.p4,
Transcript_12178.p1,
Transcript_12179.p1,
Transcript_1218.p1,
Transcript_12180.p1,
Transcript_12181.p2,
Transcript_12182.p2,
Transcript_12183.p2,K15272
Transcript_12185.p2,
Transcript_12186.p2,
Transcript_12187.p1,
Transcript_12189.p1,
Transcript_1219.p1,
Transcript_12190.p1,
Transcript_12191.p1,
Transcript_12192.p1,
Transcript_12193.p1,
Transcript_12194.p2,
Transcript_12196.p5,
Transcript_12197.p2,
Transcript_12198.p1,
Transcript_12199.p2,
Transcript_122.p1,K11593
Transcript_1220.p1,
Transcript_12200.p1,
Transcript_12201.p2,
Transcript_12202.p1,K20523
Transcript_12203.p4,
Transcript_12204.p1,
Transcript_12205.p1,
Transcript_12206.p1,
Transcript_12207.p1,
Transcript_12208.p3,
Transcript_12209.p1,
Transcript_1221.p2,
Transcript_12210.p3,
Transcript_12211.p1,
Transcript_12212.p1,
Transcript_12213.p1,
Transcript_12214.p2,
Transcript_12215.p1,
Transcript_12216.p1,K15920
Transcript_12217.p1,K01190
Transcript_12218.p1,
Transcript_12219.p1,K00099
Transcript_1222.p1,
Transcript_12220.p2,
Transcript_12221.p1,
Transcript_12222.p4,
Transcript_12223.p1,
Transcript_12224.p1,
Transcript_12225.p3,K09667
Transcript_12226.p2,
Transcript_12227.p4,
Transcript_12228.p1,K03850
Transcript_12229.p1,
Transcript_1223.p1,K19306
Transcript_12230.p1,
Transcript_12231.p1,K01190
Transcript_12232.p1,
Transcript_12234.p1,K14326
Transcript_12235.p1,K12829
Transcript_12236.p1,K10144
Transcript_12237.p1,
Transcript_12238.p1,
Transcript_1224.p1,
Transcript_12240.p1,
Transcript_12241.p1,
Transcript_12242.p1,
Transcript_12243.p2,
Transcript_12244.p1,
Transcript_12245.p1,K03106
Transcript_12246.p3,
Transcript_12247.p1,
Transcript_12248.p4,
Transcript_12249.p2,
Transcript_1225.p1,
Transcript_12250.p2,K22804
Transcript_12251.p2,
Transcript_12252.p2,
Transcript_12253.p1,
Transcript_12254.p1,
Transcript_12255.p1,K00077
Transcript_12256.p1,
Transcript_12257.p2,K17263
Transcript_12258.p1,
Transcript_12259.p1,
Transcript_12260.p2,
Transcript_12261.p1,
Transcript_12262.p2,
Transcript_12263.p1,
Transcript_12264.p3,
Transcript_12265.p3,
Transcript_12266.p1,K05349
Transcript_12267.p2,K05349
Transcript_12268.p1,
Transcript_1227.p2,K02883
Transcript_12270.p1,K17497
Transcript_12271.p2,
Transcript_12272.p3,K00927
Transcript_12273.p1,
Transcript_12274.p4,
Transcript_12275.p1,
Transcript_12276.p1,
Transcript_12278.p1,K02427
Transcript_1228.p1,
Transcript_12286.p1,
Transcript_12287.p1,
Transcript_12288.p3,
Transcript_12289.p1,
Transcript_1229.p1,
Transcript_12290.p2,
Transcript_12291.p1,
Transcript_12292.p2,K08822
Transcript_12293.p1,
Transcript_12294.p1,
Transcript_12295.p3,
Transcript_12296.p2,
Transcript_12297.p1,K15027
Transcript_12299.p6,
Transcript_123.p2,K01477
Transcript_12300.p1,
Transcript_12301.p3,
Transcript_12302.p1,
Transcript_12303.p4,
Transcript_12304.p1,
Transcript_12305.p1,
Transcript_12306.p1,
Transcript_12307.p1,K01061
Transcript_12308.p1,
Transcript_12309.p1,
Transcript_1231.p1,K06633
Transcript_12310.p1,
Transcript_12311.p3,
Transcript_12312.p3,K14841
Transcript_12313.p1,K01198
Transcript_12314.p1,
Transcript_12315.p1,K08994
Transcript_12318.p3,
Transcript_12319.p1,K07376
Transcript_1232.p2,
Transcript_12320.p1,
Transcript_12321.p1,
Transcript_12323.p2,
Transcript_12326.p2,
Transcript_12327.p1,
Transcript_12328.p1,
Transcript_12329.p1,
Transcript_1233.p2,
Transcript_12330.p1,
Transcript_12335.p1,
Transcript_12336.p1,
Transcript_12337.p1,
Transcript_12338.p1,
Transcript_12339.p4,
Transcript_1234.p1,
Transcript_12341.p1,
Transcript_12342.p1,
Transcript_12343.p4,
Transcript_12344.p1,
Transcript_12345.p1,K08828
Transcript_12346.p2,
Transcript_12348.p1,
Transcript_1235.p2,K12192
Transcript_12350.p2,
Transcript_12352.p1,K17981
Transcript_12353.p4,
Transcript_12354.p1,
Transcript_12355.p4,
Transcript_12357.p1,
Transcript_12359.p1,
Transcript_12361.p1,
Transcript_12362.p1,
Transcript_12363.p1,
Transcript_12364.p1,
Transcript_12367.p1,
Transcript_12368.p1,
Transcript_12369.p1,K08675
Transcript_1237.p2,
Transcript_12371.p1,
Transcript_12372.p1,
Transcript_12373.p1,
Transcript_12377.p2,K03403
Transcript_12379.p1,
Transcript_1238.p2,
Transcript_12381.p5,
Transcript_12382.p1,
Transcript_12385.p2,
Transcript_12386.p1,
Transcript_12387.p1,K00134
Transcript_12389.p1,
Transcript_1239.p1,
Transcript_12390.p4,
Transcript_12391.p2,
Transcript_12392.p1,
Transcript_12393.p6,
Transcript_12394.p1,
Transcript_12395.p1,
Transcript_12396.p1,
Transcript_12397.p3,
Transcript_12398.p2,
Transcript_124.p2,
Transcript_1240.p1,
Transcript_12400.p2,
Transcript_12401.p3,
Transcript_12402.p2,
Transcript_12403.p2,K17535
Transcript_12404.p3,
Transcript_12407.p2,
Transcript_1241.p1,
Transcript_12411.p3,
Transcript_12413.p3,
Transcript_12418.p3,
Transcript_1242.p1,K14383
Transcript_12422.p1,K01883
Transcript_12423.p3,K11968
Transcript_1243.p1,
Transcript_12430.p1,K08863
Transcript_12431.p1,
Transcript_12432.p3,
Transcript_12433.p1,
Transcript_12434.p1,K10519
Transcript_12435.p1,K17679
Transcript_12436.p1,
Transcript_12438.p3,
Transcript_12439.p4,
Transcript_1244.p1,K14795
Transcript_12440.p2,K08794
Transcript_12441.p2,
Transcript_12442.p1,K02183
Transcript_12443.p2,K17592
Transcript_12444.p1,K01694
Transcript_12445.p1,
Transcript_12446.p3,
Transcript_12447.p1,
Transcript_12449.p1,
Transcript_1245.p2,
Transcript_12450.p1,
Transcript_12451.p1,
Transcript_12452.p2,
Transcript_1246.p3,
Transcript_12461.p1,
Transcript_12462.p2,
Transcript_12463.p2,K17257
Transcript_12465.p2,
Transcript_12466.p1,
Transcript_12468.p2,K10408
Transcript_12469.p2,K10408
Transcript_1247.p1,K11254
Transcript_12470.p3,
Transcript_12471.p1,
Transcript_12472.p3,K19036
Transcript_12473.p1,K19036
Transcript_12474.p2,
Transcript_12475.p2,
Transcript_12476.p1,
Transcript_12477.p1,
Transcript_12478.p2,
Transcript_12479.p1,K03773
Transcript_1248.p2,
Transcript_12480.p2,
Transcript_12481.p2,
Transcript_12484.p2,
Transcript_12485.p1,
Transcript_12486.p2,
Transcript_12488.p1,
Transcript_12489.p3,
Transcript_12490.p2,K09667
Transcript_12491.p2,
Transcript_12492.p2,K20098
Transcript_12493.p3,K11654
Transcript_12495.p1,
Transcript_12497.p1,
Transcript_12498.p2,
Transcript_12499.p1,
Transcript_125.p2,K20784
Transcript_1250.p2,
Transcript_12500.p1,
Transcript_12501.p1,
Transcript_12502.p1,
Transcript_12503.p2,
Transcript_12504.p1,
Transcript_12505.p1,
Transcript_12506.p2,K14152
Transcript_12507.p1,K13051
Transcript_12508.p1,K02519
Transcript_1251.p3,
Transcript_12510.p1,
Transcript_12512.p1,
Transcript_12514.p1,
Transcript_12515.p1,
Transcript_12516.p2,K12740
Transcript_12517.p2,
Transcript_12518.p5,
Transcript_12519.p2,
Transcript_1252.p1,
Transcript_12520.p1,
Transcript_12521.p1,
Transcript_12522.p1,
Transcript_12524.p1,
Transcript_12525.p2,K05016
Transcript_12526.p2,
Transcript_12527.p1,
Transcript_12528.p1,
Transcript_12529.p1,
Transcript_12530.p3,
Transcript_12531.p1,K08657
Transcript_12532.p2,
Transcript_12533.p3,
Transcript_12534.p1,
Transcript_12535.p1,
Transcript_12536.p1,
Transcript_12537.p2,
Transcript_12538.p1,K16055
Transcript_12539.p2,
Transcript_1254.p1,K14015
Transcript_12540.p1,K13448
Transcript_12542.p2,
Transcript_12544.p2,K00277
Transcript_12545.p2,
Transcript_12546.p1,
Transcript_12548.p4,
Transcript_12549.p1,K14007
Transcript_1255.p1,
Transcript_12550.p2,K14007
Transcript_12551.p3,K14007
Transcript_12552.p2,
Transcript_12553.p3,
Transcript_12554.p1,
Transcript_12555.p2,
Transcript_12556.p1,
Transcript_12557.p1,
Transcript_12558.p2,
Transcript_12559.p2,
Transcript_12560.p1,
Transcript_12561.p1,
Transcript_12562.p1,
Transcript_12564.p2,
Transcript_12566.p3,K14026
Transcript_12567.p1,
Transcript_12568.p1,
Transcript_12569.p4,
Transcript_1257.p1,
Transcript_12570.p1,
Transcript_12571.p2,K03921
Transcript_12572.p2,
Transcript_12573.p1,K20784
Transcript_12575.p1,
Transcript_12576.p2,K14713
Transcript_12578.p1,
Transcript_1258.p1,
Transcript_12580.p2,K10408
Transcript_12581.p2,K10408
Transcript_12582.p3,K10408
Transcript_12583.p1,
Transcript_12584.p1,
Transcript_12585.p1,K06816
Transcript_12586.p1,K09834
Transcript_12587.p1,
Transcript_12588.p1,
Transcript_12589.p3,K04977
Transcript_1259.p2,K10352
Transcript_12590.p1,
Transcript_12591.p1,
Transcript_12592.p1,
Transcript_12593.p2,
Transcript_12595.p1,
Transcript_12596.p1,
Transcript_12597.p2,
Transcript_12598.p1,
Transcript_126.p1,
Transcript_1260.p2,
Transcript_12600.p3,
Transcript_12602.p3,
Transcript_12603.p2,
Transcript_12604.p1,K19307
Transcript_12605.p1,
Transcript_12606.p1,
Transcript_12608.p2,K22766
Transcript_12609.p2,K10895
Transcript_12610.p1,
Transcript_12611.p1,
Transcript_12612.p1,
Transcript_12614.p2,
Transcript_12615.p1,
Transcript_12617.p2,
Transcript_12618.p1,
Transcript_12619.p2,
Transcript_1262.p1,
Transcript_12620.p1,
Transcript_12621.p1,
Transcript_12622.p1,
Transcript_12624.p2,
Transcript_12625.p3,
Transcript_12627.p2,
Transcript_12628.p1,
Transcript_12629.p1,
Transcript_1263.p1,
Transcript_12630.p3,
Transcript_12631.p1,
Transcript_12632.p1,
Transcript_12633.p1,
Transcript_12634.p3,
Transcript_12635.p1,K01885
Transcript_12636.p2,
Transcript_12637.p1,
Transcript_12638.p1,
Transcript_12639.p3,
Transcript_12640.p1,
Transcript_12641.p1,K15111
Transcript_12642.p1,
Transcript_12643.p1,K08653
Transcript_12644.p1,K08653
Transcript_12645.p2,K08653
Transcript_12646.p1,
Transcript_12647.p1,
Transcript_12649.p1,K00615
Transcript_1265.p1,K10408
Transcript_12650.p3,
Transcript_12651.p1,
Transcript_12652.p1,
Transcript_12653.p1,
Transcript_12654.p1,K14404
Transcript_12656.p2,
Transcript_12657.p1,
Transcript_12658.p2,
Transcript_12659.p1,K10277
Transcript_1266.p1,
Transcript_12660.p1,K21989
Transcript_12661.p1,
Transcript_12662.p1,
Transcript_12663.p1,
Transcript_12665.p1,
Transcript_12666.p1,K09529
Transcript_12667.p1,
Transcript_12668.p1,
Transcript_12669.p1,K09420
Transcript_1267.p1,
Transcript_12670.p1,
Transcript_12671.p1,K04739
Transcript_12673.p4,
Transcript_12674.p1,
Transcript_12676.p3,
Transcript_12677.p1,
Transcript_12678.p1,
Transcript_12679.p1,
Transcript_12680.p1,
Transcript_12681.p3,
Transcript_12682.p1,
Transcript_12683.p1,
Transcript_12684.p2,K05750
Transcript_12685.p2,
Transcript_12686.p1,
Transcript_12687.p1,
Transcript_12688.p1,K11137
Transcript_12689.p1,
Transcript_1269.p2,
Transcript_12696.p1,
Transcript_12697.p1,K06941
Transcript_12698.p1,
Transcript_12699.p1,
Transcript_127.p1,
Transcript_1270.p1,
Transcript_12701.p1,
Transcript_12702.p1,K14832
Transcript_12703.p1,
Transcript_12704.p1,
Transcript_12705.p1,
Transcript_12706.p1,
Transcript_12707.p4,
Transcript_12708.p1,
Transcript_12709.p3,
Transcript_12710.p1,
Transcript_12712.p1,
Transcript_12713.p1,K03773
Transcript_12714.p1,
Transcript_12715.p1,
Transcript_12716.p1,K07025
Transcript_12717.p1,
Transcript_12718.p1,
Transcript_12719.p1,K10380
Transcript_12721.p1,
Transcript_12722.p1,K02150
Transcript_12723.p2,K14443
Transcript_12724.p2,
Transcript_12725.p1,
Transcript_12726.p1,
Transcript_12727.p1,
Transcript_12728.p2,K22733
Transcript_12729.p1,
Transcript_1273.p1,
Transcript_12730.p3,
Transcript_12731.p1,
Transcript_12732.p2,
Transcript_12733.p2,
Transcript_12734.p1,
Transcript_12735.p2,
Transcript_12736.p1,K10798
Transcript_12737.p2,
Transcript_12738.p1,
Transcript_12739.p1,
Transcript_1274.p1,
Transcript_12740.p1,K03539
Transcript_12741.p1,
Transcript_12742.p3,
Transcript_12743.p1,
Transcript_12744.p1,
Transcript_12745.p5,
Transcript_12747.p3,
Transcript_12748.p1,
Transcript_12749.p1,K11136
Transcript_1275.p3,
Transcript_12751.p1,
Transcript_12752.p2,
Transcript_12753.p1,
Transcript_12754.p1,
Transcript_12755.p1,
Transcript_12756.p2,
Transcript_12758.p1,
Transcript_12759.p1,
Transcript_12760.p1,
Transcript_12761.p2,
Transcript_12762.p1,
Transcript_12763.p1,K20526
Transcript_12764.p4,K03438
Transcript_12765.p2,
Transcript_12766.p2,K00791
Transcript_12767.p1,K03438
Transcript_12768.p3,
Transcript_12769.p2,
Transcript_1277.p2,
Transcript_12770.p1,
Transcript_12780.p1,
Transcript_12781.p2,
Transcript_12782.p1,
Transcript_12783.p1,K01883
Transcript_12784.p1,K01456
Transcript_12785.p1,
Transcript_12786.p1,
Transcript_12787.p2,
Transcript_12788.p1,K10380
Transcript_12789.p1,
Transcript_12790.p1,
Transcript_12792.p2,K01662
Transcript_12793.p1,
Transcript_12794.p1,
Transcript_12795.p2,
Transcript_12797.p1,
Transcript_12798.p2,K10696
Transcript_12799.p1,K22614
Transcript_12800.p1,
Transcript_12801.p1,K01634
Transcript_12802.p2,
Transcript_12803.p1,
Transcript_12804.p1,K22736
Transcript_12805.p1,
Transcript_12806.p1,
Transcript_12807.p2,K11090
Transcript_12808.p1,K06195
Transcript_12809.p1,
Transcript_1281.p2,
Transcript_12810.p2,
Transcript_12811.p1,
Transcript_12812.p1,
Transcript_12813.p3,
Transcript_12814.p1,K15334
Transcript_12815.p1,K06990
Transcript_12816.p1,K07018
Transcript_12817.p1,
Transcript_12818.p1,K03100
Transcript_12819.p1,K02357
Transcript_12820.p1,
Transcript_12821.p2,
Transcript_12823.p1,
Transcript_12825.p3,K02915
Transcript_12826.p1,
Transcript_12827.p4,
Transcript_12828.p1,
Transcript_12829.p1,
Transcript_12830.p1,
Transcript_12831.p1,
Transcript_12832.p1,K09313
Transcript_12833.p2,K20003
Transcript_12835.p1,
Transcript_12836.p1,
Transcript_12837.p1,
Transcript_12838.p1,
Transcript_12839.p1,K12400
Transcript_1284.p3,
Transcript_12840.p2,
Transcript_12841.p3,
Transcript_12842.p1,K12400
Transcript_12843.p1,
Transcript_12844.p1,
Transcript_12846.p1,
Transcript_12847.p2,
Transcript_12848.p1,K04040
Transcript_12849.p1,
Transcript_1285.p2,K09568
Transcript_12850.p1,
Transcript_12851.p1,
Transcript_12852.p1,
Transcript_12853.p1,
Transcript_12854.p1,
Transcript_12855.p1,
Transcript_12856.p2,
Transcript_12857.p1,
Transcript_12858.p3,
Transcript_12859.p1,
Transcript_1286.p1,
Transcript_12864.p1,
Transcript_12866.p3,
Transcript_12867.p2,
Transcript_12868.p2,
Transcript_12869.p1,
Transcript_1287.p2,
Transcript_12872.p1,K17499
Transcript_12873.p1,K10408
Transcript_12874.p3,
Transcript_12876.p3,K14544
Transcript_1288.p4,K17916
Transcript_12880.p2,K02891
Transcript_12881.p3,
Transcript_12882.p1,
Transcript_12883.p1,
Transcript_12885.p1,
Transcript_12887.p1,K02863
Transcript_12888.p3,
Transcript_12889.p2,K17570
Transcript_12892.p1,
Transcript_12893.p1,
Transcript_12897.p2,K03120
Transcript_12898.p2,
Transcript_12899.p1,
Transcript_1290.p3,
Transcript_12900.p1,
Transcript_12901.p1,
Transcript_12902.p2,K07515
Transcript_12904.p1,K14165
Transcript_12905.p1,K14290
Transcript_12907.p1,
Transcript_12908.p1,
Transcript_12909.p1,
Transcript_1291.p1,K17609
Transcript_12910.p2,
Transcript_12911.p1,
Transcript_12912.p2,K22377
Transcript_12913.p2,
Transcript_12914.p1,
Transcript_12915.p1,
Transcript_12916.p1,
Transcript_12917.p1,
Transcript_12918.p1,
Transcript_12919.p2,
Transcript_1292.p1,K01754
Transcript_12920.p1,
Transcript_12921.p1,
Transcript_12922.p2,
Transcript_12923.p1,
Transcript_12924.p1,K01427
Transcript_12925.p1,
Transcript_12926.p9,K03843
Transcript_12927.p1,
Transcript_12928.p1,K08516
Transcript_12929.p6,K19600
Transcript_1293.p1,
Transcript_12930.p1,
Transcript_12931.p2,
Transcript_12932.p1,
Transcript_12933.p2,
Transcript_12934.p1,
Transcript_12935.p2,
Transcript_12936.p1,K05769
Transcript_12937.p1,
Transcript_12938.p2,K15445
Transcript_12939.p1,
Transcript_1294.p1,
Transcript_12940.p1,K09553
Transcript_12941.p1,
Transcript_12942.p1,K10842
Transcript_12944.p4,K02877
Transcript_12945.p3,
Transcript_12947.p2,
Transcript_12948.p2,
Transcript_12949.p2,K20782
Transcript_1295.p2,
Transcript_12950.p1,K20782
Transcript_12951.p2,
Transcript_12952.p1,K00472
Transcript_12953.p3,K11339
Transcript_12954.p1,K07964
Transcript_12955.p3,
Transcript_12956.p2,
Transcript_12957.p3,
Transcript_12958.p1,
Transcript_12959.p1,K10689
Transcript_1296.p1,K00794
Transcript_12961.p2,
Transcript_12962.p1,
Transcript_12963.p2,
Transcript_12964.p3,K11168
Transcript_12965.p3,
Transcript_12966.p2,
Transcript_12967.p1,
Transcript_12968.p1,
Transcript_12969.p1,
Transcript_1297.p2,
Transcript_12970.p1,K12166
Transcript_12971.p1,
Transcript_12972.p1,
Transcript_12973.p1,
Transcript_12974.p3,
Transcript_12975.p1,K13207
Transcript_12976.p1,
Transcript_12978.p1,
Transcript_12979.p2,K03097
Transcript_1298.p1,
Transcript_12980.p1,
Transcript_12981.p1,
Transcript_12982.p1,K14556
Transcript_12983.p1,K13412
Transcript_12984.p1,
Transcript_12985.p2,K01870
Transcript_12986.p1,K01870
Transcript_12987.p1,
Transcript_12988.p1,K23439
Transcript_12989.p1,
Transcript_1299.p4,
Transcript_12990.p2,
Transcript_12991.p2,
Transcript_12992.p1,
Transcript_12993.p1,K03687
Transcript_12994.p4,
Transcript_12996.p1,K03626
Transcript_12997.p1,
Transcript_12998.p1,K00799
Transcript_12999.p3,
Transcript_13.p2,
Transcript_1300.p1,
Transcript_13000.p2,K13753
Transcript_13001.p2,
Transcript_13002.p1,K20222
Transcript_13004.p3,
Transcript_13005.p2,
Transcript_13006.p1,
Transcript_13008.p1,K22686
Transcript_13009.p3,
Transcript_13010.p3,
Transcript_13011.p2,
Transcript_13012.p1,
Transcript_13013.p2,K10360
Transcript_13014.p4,
Transcript_13015.p1,
Transcript_13016.p2,K22071
Transcript_13017.p3,
Transcript_13018.p2,
Transcript_13019.p1,
Transcript_1302.p1,
Transcript_13020.p2,
Transcript_13021.p1,
Transcript_13022.p1,K06177
Transcript_13023.p1,K08568
Transcript_13024.p2,
Transcript_13025.p1,
Transcript_13026.p4,
Transcript_13027.p1,
Transcript_13028.p1,
Transcript_13029.p1,K00456
Transcript_1303.p1,
Transcript_13030.p1,
Transcript_13032.p3,
Transcript_13033.p1,
Transcript_13034.p1,
Transcript_13035.p1,
Transcript_13036.p2,
Transcript_13038.p1,
Transcript_13039.p1,
Transcript_1304.p3,
Transcript_13040.p1,K16781
Transcript_13041.p2,K00264
Transcript_13042.p1,
Transcript_13043.p2,
Transcript_13045.p1,
Transcript_13046.p2,K02346
Transcript_13047.p2,K02910
Transcript_13048.p1,
Transcript_13049.p1,K03016
Transcript_13051.p1,K15262
Transcript_13052.p3,
Transcript_13053.p1,
Transcript_13054.p1,
Transcript_13055.p1,
Transcript_13057.p1,K00908
Transcript_13058.p1,
Transcript_13059.p1,K12844
Transcript_1306.p3,
Transcript_13060.p2,
Transcript_13061.p1,
Transcript_13062.p1,
Transcript_13063.p3,
Transcript_13064.p2,K02896
Transcript_13065.p2,
Transcript_13066.p2,
Transcript_13067.p3,K11593
Transcript_13068.p1,K03068
Transcript_1307.p3,
Transcript_13070.p1,
Transcript_13071.p1,
Transcript_13072.p1,K12446
Transcript_13073.p2,K08917
Transcript_13074.p1,
Transcript_13075.p1,
Transcript_13076.p2,
Transcript_13077.p2,
Transcript_13078.p1,
Transcript_13079.p1,K02218
Transcript_1308.p3,
Transcript_13080.p1,
Transcript_13081.p1,
Transcript_13082.p1,
Transcript_13083.p1,
Transcript_13084.p2,K21862
Transcript_13085.p2,
Transcript_13086.p1,
Transcript_13087.p1,
Transcript_13088.p1,
Transcript_13089.p1,
Transcript_13090.p1,
Transcript_13091.p1,K09649
Transcript_13092.p1,
Transcript_13093.p2,
Transcript_13094.p1,
Transcript_13096.p1,
Transcript_13097.p1,K08819
Transcript_13099.p1,K01054
Transcript_131.p3,
Transcript_1310.p3,
Transcript_13100.p3,
Transcript_13101.p2,
Transcript_13102.p2,K13758
Transcript_13103.p2,K13758
Transcript_13104.p2,
Transcript_13105.p2,K20369
Transcript_13106.p1,
Transcript_13107.p1,
Transcript_13108.p1,K12874
Transcript_13109.p1,
Transcript_1311.p1,
Transcript_13110.p1,K12872
Transcript_13112.p1,
Transcript_13113.p1,
Transcript_13114.p1,
Transcript_13115.p1,K10773
Transcript_13116.p4,K15272
Transcript_13118.p1,
Transcript_13119.p2,K18272
Transcript_1312.p1,
Transcript_13120.p1,
Transcript_13121.p1,K10357
Transcript_13122.p1,
Transcript_13124.p2,K10758
Transcript_13125.p1,K06416
Transcript_13126.p2,
Transcript_13127.p1,
Transcript_13128.p1,K09955
Transcript_13129.p1,K04499
Transcript_1313.p1,K03232
Transcript_13130.p1,
Transcript_13131.p2,
Transcript_13132.p1,
Transcript_13133.p3,
Transcript_13134.p1,
Transcript_13135.p3,
Transcript_13136.p1,
Transcript_13137.p1,K07755
Transcript_13138.p2,
Transcript_13139.p1,
Transcript_1314.p3,
Transcript_13140.p1,
Transcript_13141.p1,
Transcript_13142.p2,
Transcript_13143.p1,K05628
Transcript_13144.p3,K10779
Transcript_13145.p1,
Transcript_13146.p2,
Transcript_13147.p2,
Transcript_13148.p2,K05865
Transcript_13149.p3,K01099
Transcript_1315.p1,K02213
Transcript_13150.p3,K15909
Transcript_13151.p1,
Transcript_13152.p1,
Transcript_13153.p1,
Transcript_13154.p3,
Transcript_13155.p2,
Transcript_13156.p1,K01513
Transcript_13157.p2,
Transcript_13158.p1,K07565
Transcript_13159.p1,
Transcript_1316.p1,
Transcript_13160.p1,
Transcript_13162.p2,
Transcript_13164.p1,K07376
Transcript_13165.p2,
Transcript_13166.p1,K01062
Transcript_13168.p1,
Transcript_13170.p1,
Transcript_13171.p2,
Transcript_13172.p1,
Transcript_13173.p1,K06185
Transcript_13174.p1,K14288
Transcript_13175.p1,
Transcript_13176.p1,
Transcript_13177.p1,
Transcript_13178.p1,
Transcript_13179.p1,
Transcript_1318.p1,
Transcript_13180.p2,
Transcript_13181.p3,
Transcript_13182.p1,
Transcript_13183.p3,
Transcript_13184.p2,
Transcript_13185.p1,K07394
Transcript_13187.p2,K06269
Transcript_13188.p1,K06269
Transcript_13189.p2,K15849
Transcript_1319.p2,
Transcript_13190.p2,
Transcript_13191.p5,K10573
Transcript_13192.p2,K04977
Transcript_13193.p3,
Transcript_13194.p1,
Transcript_13195.p1,
Transcript_13196.p3,
Transcript_13197.p2,
Transcript_13198.p1,
Transcript_13199.p1,
Transcript_132.p1,
Transcript_1320.p4,
Transcript_13200.p10,
Transcript_13201.p1,
Transcript_13202.p3,
Transcript_13203.p2,K08498
Transcript_13204.p1,
Transcript_13205.p1,
Transcript_13206.p1,
Transcript_13207.p1,
Transcript_13208.p1,
Transcript_13209.p1,
Transcript_1321.p1,
Transcript_13210.p2,
Transcript_13211.p1,K11863
Transcript_13212.p1,
Transcript_13214.p1,K00616
Transcript_13215.p1,
Transcript_13216.p2,K07955
Transcript_13217.p5,
Transcript_13218.p3,
Transcript_13219.p2,K08266
Transcript_13220.p1,K01438
Transcript_13221.p3,
Transcript_13222.p2,
Transcript_13223.p2,K07203
Transcript_13225.p1,
Transcript_13226.p2,
Transcript_13227.p1,K22614
Transcript_13228.p1,K10357
Transcript_13229.p2,
Transcript_13230.p1,K02266
Transcript_13231.p2,K07936
Transcript_13232.p2,K01669
Transcript_13233.p1,
Transcript_13235.p2,
Transcript_13237.p1,
Transcript_13238.p1,
Transcript_13239.p1,K10754
Transcript_13240.p1,
Transcript_13241.p1,
Transcript_13242.p1,
Transcript_13243.p1,
Transcript_13245.p1,
Transcript_13246.p1,K22913
Transcript_13247.p2,
Transcript_13248.p1,
Transcript_13249.p1,
Transcript_1325.p1,
Transcript_13250.p1,
Transcript_13251.p2,
Transcript_13252.p1,
Transcript_13253.p1,
Transcript_13254.p1,K00940
Transcript_13255.p2,
Transcript_13256.p1,K08150
Transcript_13258.p2,
Transcript_1326.p3,
Transcript_13260.p1,
Transcript_13261.p1,
Transcript_13262.p1,
Transcript_13263.p1,
Transcript_13264.p3,K20184
Transcript_13265.p1,
Transcript_13267.p1,
Transcript_13268.p1,
Transcript_13269.p4,
Transcript_1327.p1,
Transcript_13270.p2,K21398
Transcript_13271.p2,
Transcript_13273.p2,
Transcript_13274.p2,
Transcript_13275.p2,K14944
Transcript_13276.p1,K08151
Transcript_13278.p1,
Transcript_1328.p2,
Transcript_13280.p2,K07560
Transcript_13281.p3,
Transcript_13284.p2,
Transcript_13285.p1,K11265
Transcript_13286.p2,
Transcript_13289.p1,
Transcript_13290.p2,
Transcript_13291.p1,
Transcript_13292.p2,
Transcript_13293.p1,K19944
Transcript_13294.p1,K00799
Transcript_13295.p3,
Transcript_13296.p2,
Transcript_13297.p1,K19882
Transcript_13298.p1,
Transcript_13299.p2,
Transcript_133.p1,
Transcript_13300.p1,
Transcript_13301.p2,K04066
Transcript_13302.p2,
Transcript_13303.p1,
Transcript_13304.p1,
Transcript_13305.p4,
Transcript_13306.p1,
Transcript_13307.p3,
Transcript_13308.p1,
Transcript_1331.p1,
Transcript_13319.p1,
Transcript_1332.p2,
Transcript_13320.p3,
Transcript_13322.p2,K12820
Transcript_13323.p1,K02896
Transcript_13325.p1,
Transcript_13326.p2,
Transcript_13329.p1,
Transcript_1333.p1,K03119
Transcript_13331.p1,
Transcript_13332.p3,
Transcript_13333.p1,K10408
Transcript_13335.p1,
Transcript_13336.p3,K12571
