,seqid,Dbxref,Name,Note
17291,Transcript_17999,"""Pfam:PF01226.13""",Form_Nir_trans,Formate/nitrite transporter
23899,Transcript_18,"""Pfam:PF00254.24""",FKBP_C,FKBP-type peptidyl-prolyl cis-trans isomerase
17295,Transcript_18000,"""Pfam:PF01702.14""",TGT,Queuine tRNA-ribosyltransferase
17296,Transcript_18001,"""Pfam:PF00235.15""",Profilin,Profilin
17297,Transcript_18005,"""Pfam:PF02146.13""",SIR2,Sir2 family
17299,Transcript_18006,"""Pfam:PF14833.2""",NAD_binding_11,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
17305,Transcript_18007,"""Pfam:PF13621.2""",Cupin_8,Cupin-like domain
17306,Transcript_18010,"""Pfam:PF03637.13""",Mob1_phocein,Mob1/phocein family
17308,Transcript_18011,"""Pfam:PF00534.16""",Glycos_transf_1,Glycosyl transferases group 1
17310,Transcript_18012,"""Pfam:PF01302.21""",CAP_GLY,CAP-Gly domain
17312,Transcript_18015,"""Pfam:PF02460.14""",Patched,Patched family
17313,Transcript_18017,"""Pfam:PF05158.8""",RNA_pol_Rpc34,RNA polymerase Rpc34 subunit
17317,Transcript_18019,"""Pfam:PF02605.11""",PsaL,Photosystem I reaction centre subunit XI
17320,Transcript_18021,"""Pfam:PF05637.8""",Glyco_transf_34,galactosyl transferase GMA12/MNN10 family
17321,Transcript_18022,"""Pfam:PF00176.19""",SNF2_N,SNF2 family N-terminal domain
17322,Transcript_18025,"""Pfam:PF00933.17""",Glyco_hydro_3,Glycosyl hydrolase family 3 N terminal domain
17326,Transcript_18030,"""Pfam:PF04185.10""",Phosphoesterase,Phosphoesterase family
17328,Transcript_18031,"""Pfam:PF14996.2""",RMP,Retinal Maintenance
17330,Transcript_18033,"""Pfam:PF00172.14""",Zn_clus,Fungal Zn(2)-Cys(6) binuclear cluster domain
17332,Transcript_18034,"""Pfam:PF00172.14""",Zn_clus,Fungal Zn(2)-Cys(6) binuclear cluster domain
17334,Transcript_18035,"""Pfam:PF00172.14""",Zn_clus,Fungal Zn(2)-Cys(6) binuclear cluster domain
17335,Transcript_18037,"""Pfam:PF00717.19""",Peptidase_S24,Peptidase S24-like
17338,Transcript_18038,"""Pfam:PF00717.19""",Peptidase_S24,Peptidase S24-like
17346,Transcript_18039,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
17351,Transcript_18042,"""Pfam:PF00249.27""",Myb_DNA-binding,Myb-like DNA-binding domain
17356,Transcript_18045,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
17373,Transcript_18046,"""Pfam:PF00777.14""",Glyco_transf_29,Glycosyltransferase family 29 (sialyltransferase)
17382,Transcript_18049,"""Pfam:PF13857.2""",Ank_5,Ankyrin repeats (many copies)
17411,Transcript_18051,"""Pfam:PF13867.2""",SAP30_Sin3_bdg,Sin3 binding region of histone deacetylase complex subunit SAP30
17413,Transcript_18052,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
17416,Transcript_18053,"""Pfam:PF09286.7""",Pro-kuma_activ,"Pro-kumamolisin, activation domain"
17418,Transcript_18055,"""Pfam:PF00459.21""",Inositol_P,Inositol monophosphatase family
17420,Transcript_18058,"""Pfam:PF00249.27""",Myb_DNA-binding,Myb-like DNA-binding domain
17426,Transcript_18060,"""Pfam:PF16884.1""",ADH_N_2,N-terminal domain of oxidoreductase
17433,Transcript_18061,"""Pfam:PF07910.9""",Peptidase_C78,Peptidase family C78
17436,Transcript_18062,"""Pfam:PF06565.8""",DUF1126,Repeat of unknown function (DUF1126)
17439,Transcript_18063,"""Pfam:PF00293.24""",NUDIX,NUDIX domain
17440,Transcript_18064,"""Pfam:PF00194.17""",Carb_anhydrase,Eukaryotic-type carbonic anhydrase
17441,Transcript_18066,"""Pfam:PF01370.17""",Epimerase,NAD dependent epimerase/dehydratase family
17451,Transcript_18071,"""Pfam:PF13041.2""",PPR_2,PPR repeat family
17475,Transcript_18073,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
17479,Transcript_18074,"""Pfam:PF13967.2""",RSN1_TM,"Late exocytosis, associated with Golgi transport"
17480,Transcript_18076,"""Pfam:PF00397.22""",WW,WW domain
26807,Transcript_1808,"""Pfam:PF00238.15""",Ribosomal_L14,Ribosomal protein L14p/L23e
17487,Transcript_18084,"""Pfam:PF13415.2""",Kelch_3,"Galactose oxidase, central domain"
26808,Transcript_1809,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
17533,Transcript_18091,"""Pfam:PF00787.20""",PX,PX domain
17534,Transcript_18092,"""Pfam:PF00759.15""",Glyco_hydro_9,Glycosyl hydrolase family 9
17536,Transcript_18094,"""Pfam:PF07885.12""",Ion_trans_2,Ion channel
17541,Transcript_18096,"""Pfam:PF00566.14""",RabGAP-TBC,Rab-GTPase-TBC domain
17542,Transcript_18097,"""Pfam:PF01504.14""",PIP5K,Phosphatidylinositol-4-phosphate 5-Kinase
24178,Transcript_181,"""Pfam:PF00651.27""",BTB,BTB/POZ domain
17545,Transcript_18100,"""Pfam:PF00892.16""",EamA,EamA-like transporter family
17546,Transcript_18102,"""Pfam:PF00504.17""",Chloroa_b-bind,Chlorophyll A-B binding protein
17547,Transcript_18103,"""Pfam:PF03982.9""",DAGAT,Diacylglycerol acyltransferase
17548,Transcript_18104,"""Pfam:PF05050.8""",Methyltransf_21,Methyltransferase FkbM domain
17549,Transcript_18105,"""Pfam:PF04057.8""",Rep-A_N,"Replication factor-A protein 1, N-terminal domain"
17550,Transcript_18108,"""Pfam:PF07059.8""",DUF1336,Protein of unknown function (DUF1336)
17551,Transcript_18109,"""Pfam:PF07993.8""",NAD_binding_4,Male sterility protein
17553,Transcript_18110,"""Pfam:PF13920.2""",zf-C3HC4_3,"Zinc finger, C3HC4 type (RING finger)"
17557,Transcript_18113,"""Pfam:PF12781.3""",AAA_9,ATP-binding dynein motor region D5
17558,Transcript_18114,"""Pfam:PF03028.11""",Dynein_heavy,Dynein heavy chain and region D6 of dynein motor
17559,Transcript_18116,"""Pfam:PF05050.8""",Methyltransf_21,Methyltransferase FkbM domain
17560,Transcript_18117,"""Pfam:PF01593.20""",Amino_oxidase,Flavin containing amine oxidoreductase
17578,Transcript_18119,"""Pfam:PF12777.3""",MT,Microtubule-binding stalk of dynein motor
17589,Transcript_18124,"""Pfam:PF12771.3""",SusD-like_2,Starch-binding associating with outer membrane
17591,Transcript_18127,"""Pfam:PF00112.19""",Peptidase_C1,Papain family cysteine protease
17592,Transcript_18129,"""Pfam:PF13414.2""",TPR_11,TPR repeat
17607,Transcript_18134,"""Pfam:PF00249.27""",Myb_DNA-binding,Myb-like DNA-binding domain
17608,Transcript_18135,"""Pfam:PF03109.12""",ABC1,ABC1 family
17611,Transcript_18138,"""Pfam:PF02527.11""",GidB,rRNA small subunit methyltransferase G
17627,Transcript_18141,"""Pfam:PF01641.14""",SelR,SelR domain
17628,Transcript_18144,"""Pfam:PF01129.14""",ART,NAD:arginine ADP-ribosyltransferase
17629,Transcript_18148,"""Pfam:PF00459.21""",Inositol_P,Inositol monophosphatase family
17631,Transcript_18150,"""Pfam:PF02816.14""",Alpha_kinase,Alpha-kinase family
17642,Transcript_18155,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
17643,Transcript_18156,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
17645,Transcript_18157,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
17646,Transcript_18158,"""Pfam:PF00884.19""",Sulfatase,Sulfatase
17648,Transcript_18159,"""Pfam:PF04112.9""",Mak10,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase"
26811,Transcript_1816,"""Pfam:PF01380.18""",SIS,SIS domain
17651,Transcript_18160,"""Pfam:PF02535.18""",Zip,ZIP Zinc transporter
17652,Transcript_18161,"""Pfam:PF08393.9""",DHC_N2,"Dynein heavy chain, N-terminal region 2"
17653,Transcript_18162,"""Pfam:PF12774.3""",AAA_6,Hydrolytic ATP binding site of dynein motor region D1
17655,Transcript_18163,"""Pfam:PF08393.9""",DHC_N2,"Dynein heavy chain, N-terminal region 2"
17658,Transcript_18167,"""Pfam:PF13521.2""",AAA_28,AAA domain
17661,Transcript_18169,"""Pfam:PF00498.22""",FHA,FHA domain
26812,Transcript_1817,"""Pfam:PF00462.20""",Glutaredoxin,Glutaredoxin
17665,Transcript_18170,"""Pfam:PF00248.17""",Aldo_ket_red,Aldo/keto reductase family
17667,Transcript_18172,"""Pfam:PF10433.5""",MMS1_N,Mono-functional DNA-alkylating methyl methanesulfonate N-term
17673,Transcript_18174,"""Pfam:PF01595.16""",DUF21,Domain of unknown function DUF21
17676,Transcript_18178,"""Pfam:PF01926.19""",MMR_HSR1,50S ribosome-binding GTPase
17679,Transcript_18181,"""Pfam:PF01915.18""",Glyco_hydro_3_C,Glycosyl hydrolase family 3 C-terminal domain
17682,Transcript_18182,"""Pfam:PF10017.5""",Methyltransf_33,"Histidine-specific methyltransferase, SAM-dependent"
17683,Transcript_18189,"""Pfam:PF13639.2""",zf-RING_2,Ring finger domain
17691,Transcript_18195,"""Pfam:PF00884.19""",Sulfatase,Sulfatase
24183,Transcript_182,"""Pfam:PF13639.2""",zf-RING_2,Ring finger domain
26813,Transcript_1820,"""Pfam:PF00235.15""",Profilin,Profilin
17696,Transcript_18201,"""Pfam:PF00059.17""",Lectin_C,Lectin C-type domain
17697,Transcript_18202,"""Pfam:PF00687.17""",Ribosomal_L1,Ribosomal protein L1p/L10e family
17698,Transcript_18207,"""Pfam:PF03781.12""",FGE-sulfatase,Sulfatase-modifying factor enzyme 1
17715,Transcript_18213,"""Pfam:PF02463.15""",SMC_N,RecF/RecN/SMC N terminal domain
17717,Transcript_18215,"""Pfam:PF08449.7""",UAA,UAA transporter family
17718,Transcript_18218,"""Pfam:PF00466.16""",Ribosomal_L10,Ribosomal protein L10
17719,Transcript_18220,"""Pfam:PF00702.22""",Hydrolase,haloacid dehalogenase-like hydrolase
17723,Transcript_18222,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
17728,Transcript_18225,"""Pfam:PF02836.13""",Glyco_hydro_2_C,"Glycosyl hydrolases family 2, TIM barrel domain"
17730,Transcript_18226,"""Pfam:PF13578.2""",Methyltransf_24,Methyltransferase domain
17737,Transcript_18227,"""Pfam:PF01344.21""",Kelch_1,Kelch motif
17744,Transcript_18229,"""Pfam:PF13489.2""",Methyltransf_23,Methyltransferase domain
26814,Transcript_1823,"""Pfam:PF01062.17""",Bestrophin,"Bestrophin, RFP-TM, chloride channel"
17746,Transcript_18231,"""Pfam:PF08423.7""",Rad51,Rad51
17750,Transcript_18237,"""Pfam:PF01549.20""",ShK,ShK domain-like
17751,Transcript_18238,"""Pfam:PF00051.14""",Kringle,Kringle domain
17753,Transcript_18239,"""Pfam:PF02826.15""",2-Hacid_dh_C,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
17754,Transcript_18241,"""Pfam:PF00753.23""",Lactamase_B,Metallo-beta-lactamase superfamily
17755,Transcript_18242,"""Pfam:PF03151.12""",TPT,Triose-phosphate Transporter family
17757,Transcript_18244,"""Pfam:PF00041.17""",fn3,Fibronectin type III domain
17760,Transcript_18249,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
17762,Transcript_18251,"""Pfam:PF13472.2""",Lipase_GDSL_2,GDSL-like Lipase/Acylhydrolase family
17816,Transcript_18252,"""Pfam:PF00515.24""",TPR_1,Tetratricopeptide repeat
17832,Transcript_18253,"""Pfam:PF02622.11""",DUF179,"Uncharacterized ACR, COG1678"
17835,Transcript_18254,"""Pfam:PF13812.2""",PPR_3,Pentatricopeptide repeat domain
17838,Transcript_18255,"""Pfam:PF00520.27""",Ion_trans,Ion transport protein
17841,Transcript_18262,"""Pfam:PF00082.18""",Peptidase_S8,Subtilase family
17842,Transcript_18264,"""Pfam:PF12580.4""",TPPII,Tripeptidyl peptidase II
17843,Transcript_18265,"""Pfam:PF04379.10""",DUF525,Protein of unknown function (DUF525)
17844,Transcript_18269,"""Pfam:PF03154.11""",Atrophin-1,Atrophin-1 family
17846,Transcript_18272,"""Pfam:PF00144.20""",Beta-lactamase,Beta-lactamase
17848,Transcript_18273,"""Pfam:PF09335.7""",SNARE_assoc,SNARE associated Golgi protein
17850,Transcript_18278,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
17853,Transcript_18280,"""Pfam:PF13359.2""",DDE_Tnp_4,DDE superfamily endonuclease
17854,Transcript_18283,"""Pfam:PF01040.14""",UbiA,UbiA prenyltransferase family
17856,Transcript_18284,"""Pfam:PF14397.2""",ATPgrasp_ST,Sugar-transfer associated ATP-grasp
17857,Transcript_18285,"""Pfam:PF04193.10""",PQ-loop,PQ loop repeat
17860,Transcript_18287,"""Pfam:PF07884.10""",VKOR,Vitamin K epoxide reductase family
17861,Transcript_18289,"""Pfam:PF15375.2""",DUF4602,Domain of unknown function (DUF4602)
17862,Transcript_18291,"""Pfam:PF00777.14""",Glyco_transf_29,Glycosyltransferase family 29 (sialyltransferase)
17863,Transcript_18292,"""Pfam:PF02784.12""",Orn_Arg_deC_N,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"
17866,Transcript_18294,"""Pfam:PF07714.13""",Pkinase_Tyr,Protein tyrosine kinase
17869,Transcript_18295,"""Pfam:PF03016.11""",Exostosin,Exostosin family
17876,Transcript_18296,"""Pfam:PF03151.12""",TPT,Triose-phosphate Transporter family
17877,Transcript_18297,"""Pfam:PF03982.9""",DAGAT,Diacylglycerol acyltransferase
17878,Transcript_18299,"""Pfam:PF00551.15""",Formyl_trans_N,Formyl transferase
17880,Transcript_18300,"""Pfam:PF00334.15""",NDK,Nucleoside diphosphate kinase
17881,Transcript_18302,"""Pfam:PF01833.20""",TIG,IPT/TIG domain
17882,Transcript_18303,"""Pfam:PF01636.19""",APH,Phosphotransferase enzyme family
17884,Transcript_18304,"""Pfam:PF00890.20""",FAD_binding_2,FAD binding domain
17906,Transcript_18306,"""Pfam:PF14938.2""",SNAP,"Soluble NSF attachment protein, SNAP"
17914,Transcript_18307,"""Pfam:PF03016.11""",Exostosin,Exostosin family
17915,Transcript_18310,"""Pfam:PF03109.12""",ABC1,ABC1 family
17917,Transcript_18312,"""Pfam:PF00248.17""",Aldo_ket_red,Aldo/keto reductase family
17918,Transcript_18314,"""Pfam:PF00179.22""",UQ_con,Ubiquitin-conjugating enzyme
17924,Transcript_18317,"""Pfam:PF03749.9""",SfsA,Sugar fermentation stimulation protein
17927,Transcript_18318,"""Pfam:PF00153.23""",Mito_carr,Mitochondrial carrier protein
17928,Transcript_18321,"""Pfam:PF10159.5""",MMtag,Kinase phosphorylation protein
17931,Transcript_18326,"""Pfam:PF14259.2""",RRM_6,"RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)"
17935,Transcript_18329,"""Pfam:PF05008.11""",V-SNARE,Vesicle transport v-SNARE protein N-terminus
17938,Transcript_18330,"""Pfam:PF10294.5""",Methyltransf_16,Lysine methyltransferase
17941,Transcript_18332,"""Pfam:PF09745.5""",DUF2040,Coiled-coil domain-containing protein 55 (DUF2040)
17943,Transcript_18335,"""Pfam:PF00175.17""",NAD_binding_1,Oxidoreductase NAD-binding domain
17946,Transcript_18336,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
17969,Transcript_18337,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
17983,Transcript_18340,"""Pfam:PF03133.11""",TTL,Tubulin-tyrosine ligase family
17984,Transcript_18341,"""Pfam:PF00106.21""",adh_short,short chain dehydrogenase
17988,Transcript_18343,"""Pfam:PF01106.13""",NifU,NifU-like domain
17991,Transcript_18346,"""Pfam:PF00365.16""",PFK,Phosphofructokinase
17992,Transcript_18348,"""Pfam:PF12972.3""",NAGLU_C,Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain
17994,Transcript_18349,"""Pfam:PF01467.22""",CTP_transf_like,Cytidylyltransferase-like
26815,Transcript_1835,"""Pfam:PF00041.17""",fn3,Fibronectin type III domain
17995,Transcript_18351,"""Pfam:PF13020.2""",DUF3883,Domain of unknown function (DUF3883)
17997,Transcript_18354,"""Pfam:PF16192.1""",PMT_4TMC,C-terminal four TMM region of protein-O-mannosyltransferase
18000,Transcript_18355,"""Pfam:PF00226.27""",DnaJ,DnaJ domain
18002,Transcript_18356,"""Pfam:PF16192.1""",PMT_4TMC,C-terminal four TMM region of protein-O-mannosyltransferase
18004,Transcript_18357,"""Pfam:PF00493.19""",MCM,MCM2/3/5 family
18005,Transcript_18360,"""Pfam:PF00632.21""",HECT,HECT-domain (ubiquitin-transferase)
18006,Transcript_18363,"""Pfam:PF09335.7""",SNARE_assoc,SNARE associated Golgi protein
18007,Transcript_18364,"""Pfam:PF01593.20""",Amino_oxidase,Flavin containing amine oxidoreductase
18013,Transcript_18365,"""Pfam:PF01966.18""",HD,HD domain
18015,Transcript_18366,"""Pfam:PF01966.18""",HD,HD domain
26822,Transcript_1837,"""Pfam:PF00226.27""",DnaJ,DnaJ domain
18017,Transcript_18370,"""Pfam:PF00773.15""",RNB,RNB domain
18025,Transcript_18374,"""Pfam:PF00254.24""",FKBP_C,FKBP-type peptidyl-prolyl cis-trans isomerase
18026,Transcript_18377,"""Pfam:PF03966.12""",Trm112p,Trm112p-like protein
18027,Transcript_18379,"""Pfam:PF00520.27""",Ion_trans,Ion transport protein
26823,Transcript_1838,"""Pfam:PF01071.15""",GARS_A,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain"
18090,Transcript_18381,"""Pfam:PF00520.27""",Ion_trans,Ion transport protein
18093,Transcript_18383,"""Pfam:PF12706.3""",Lactamase_B_2,Beta-lactamase superfamily domain
18095,Transcript_18385,"""Pfam:PF01569.17""",PAP2,PAP2 superfamily
26834,Transcript_1839,"""Pfam:PF00415.14""",RCC1,Regulator of chromosome condensation (RCC1) repeat
26844,Transcript_1840,"""Pfam:PF00415.14""",RCC1,Regulator of chromosome condensation (RCC1) repeat
18096,Transcript_18427,"""Pfam:PF13472.2""",Lipase_GDSL_2,GDSL-like Lipase/Acylhydrolase family
18100,Transcript_18429,"""Pfam:PF02897.11""",Peptidase_S9_N,"Prolyl oligopeptidase, N-terminal beta-propeller domain"
26854,Transcript_1843,"""Pfam:PF08068.8""",DKCLD,DKCLD (NUC011) domain
18101,Transcript_18431,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
18103,Transcript_18433,"""Pfam:PF13462.2""",Thioredoxin_4,Thioredoxin
18104,Transcript_18435,"""Pfam:PF01925.15""",TauE,Sulfite exporter TauE/SafE
18105,Transcript_18440,"""Pfam:PF01625.17""",PMSR,Peptide methionine sulfoxide reductase
18106,Transcript_18442,"""Pfam:PF09084.7""",NMT1,NMT1/THI5 like
18107,Transcript_18444,"""Pfam:PF04828.10""",GFA,Glutathione-dependent formaldehyde-activating enzyme
18109,Transcript_18445,"""Pfam:PF00581.16""",Rhodanese,Rhodanese-like domain
18110,Transcript_18448,"""Pfam:PF00732.15""",GMC_oxred_N,GMC oxidoreductase
18116,Transcript_18449,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
26861,Transcript_1845,"""Pfam:PF00397.22""",WW,WW domain
18122,Transcript_18451,"""Pfam:PF04193.10""",PQ-loop,PQ loop repeat
18123,Transcript_18454,"""Pfam:PF00106.21""",adh_short,short chain dehydrogenase
18127,Transcript_18455,"""Pfam:PF02657.11""",SufE,Fe-S metabolism associated domain
18128,Transcript_18457,"""Pfam:PF02167.11""",Cytochrom_C1,Cytochrome C1 family
18129,Transcript_18459,"""Pfam:PF02931.19""",Neur_chan_LBD,Neurotransmitter-gated ion-channel ligand binding domain
26863,Transcript_1846,"""Pfam:PF01545.17""",Cation_efflux,Cation efflux family
18130,Transcript_18460,"""Pfam:PF10563.5""",CdCA1,Cadmium carbonic anhydrase repeat
18131,Transcript_18464,"""Pfam:PF09991.5""",DUF2232,Predicted membrane protein (DUF2232)
18134,Transcript_18465,"""Pfam:PF00561.16""",Abhydrolase_1,alpha/beta hydrolase fold
18139,Transcript_18466,"""Pfam:PF00557.20""",Peptidase_M24,Metallopeptidase family M24
18140,Transcript_18470,"""Pfam:PF15669.1""",CCDC24,Coiled-coil domain-containing protein 24 family
18142,Transcript_18472,"""Pfam:PF00632.21""",HECT,HECT-domain (ubiquitin-transferase)
18144,Transcript_18473,"""Pfam:PF03484.11""",B5,tRNA synthetase B5 domain
18146,Transcript_18474,"""Pfam:PF01406.15""",tRNA-synt_1e,tRNA synthetases class I (C) catalytic domain
18148,Transcript_18475,"""Pfam:PF00587.21""",tRNA-synt_2b,"tRNA synthetase class II core domain (G, H, P, S and T)"
18151,Transcript_18477,"""Pfam:PF03871.10""",RNA_pol_Rpb5_N,"RNA polymerase Rpb5, N-terminal domain"
18152,Transcript_18478,"""Pfam:PF03871.10""",RNA_pol_Rpb5_N,"RNA polymerase Rpb5, N-terminal domain"
26864,Transcript_1848,"""Pfam:PF01545.17""",Cation_efflux,Cation efflux family
18153,Transcript_18480,"""Pfam:PF04488.11""",Gly_transf_sug,Glycosyltransferase sugar-binding region containing DXD motif
18159,Transcript_18482,"""Pfam:PF13465.2""",zf-H2C2_2,Zinc-finger double domain
18178,Transcript_18485,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
18180,Transcript_18486,"""Pfam:PF03055.11""",RPE65,Retinal pigment epithelial membrane protein
18181,Transcript_18487,"""Pfam:PF00091.21""",Tubulin,"Tubulin/FtsZ family, GTPase domain"
26866,Transcript_1849,"""Pfam:PF09420.6""",Nop16,Ribosome biogenesis protein Nop16
18183,Transcript_18490,"""Pfam:PF00091.21""",Tubulin,"Tubulin/FtsZ family, GTPase domain"
18185,Transcript_18491,"""Pfam:PF10184.5""",DUF2358,Uncharacterized conserved protein (DUF2358)
18186,Transcript_18494,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
18189,Transcript_18495,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
18195,Transcript_18496,"""Pfam:PF00400.28""",WD40,"WD domain, G-beta repeat"
18198,Transcript_18499,"""Pfam:PF02492.15""",cobW,"CobW/HypB/UreG, nucleotide-binding domain"
26867,Transcript_1850,"""Pfam:PF00251.16""",Glyco_hydro_32N,Glycosyl hydrolases family 32 N-terminal domain
18199,Transcript_18503,"""Pfam:PF01755.13""",Glyco_transf_25,Glycosyltransferase family 25 (LPS biosynthesis protein)
18200,Transcript_18504,"""Pfam:PF07819.9""",PGAP1,PGAP1-like protein
18201,Transcript_18505,"""Pfam:PF13383.2""",Methyltransf_22,Methyltransferase domain
18203,Transcript_18507,"""Pfam:PF00169.25""",PH,PH domain
18220,Transcript_18509,"""Pfam:PF00041.17""",fn3,Fibronectin type III domain
26868,Transcript_1851,"""Pfam:PF00251.16""",Glyco_hydro_32N,Glycosyl hydrolases family 32 N-terminal domain
18221,Transcript_18511,"""Pfam:PF01753.14""",zf-MYND,MYND finger
18222,Transcript_18515,"""Pfam:PF01793.12""",Glyco_transf_15,Glycolipid 2-alpha-mannosyltransferase
18224,Transcript_18516,"""Pfam:PF01124.14""",MAPEG,MAPEG family
18225,Transcript_18518,"""Pfam:PF00168.26""",C2,C2 domain
18227,Transcript_18519,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
26869,Transcript_1852,"""Pfam:PF05008.11""",V-SNARE,Vesicle transport v-SNARE protein N-terminus
18240,Transcript_18521,"""Pfam:PF00406.18""",ADK,Adenylate kinase
18247,Transcript_18524,"""Pfam:PF07690.12""",MFS_1,Major Facilitator Superfamily
18251,Transcript_18527,"""Pfam:PF05641.8""",Agenet,Agenet domain
18253,Transcript_18529,"""Pfam:PF17120.1""",Zn_ribbon_17,"Zinc-ribbon, C4HC2 type"
18255,Transcript_18531,"""Pfam:PF05641.8""",Agenet,Agenet domain
18259,Transcript_18534,"""Pfam:PF05050.8""",Methyltransf_21,Methyltransferase FkbM domain
18260,Transcript_18536,"""Pfam:PF07496.11""",zf-CW,CW-type Zinc Finger
18261,Transcript_18537,"""Pfam:PF07496.11""",zf-CW,CW-type Zinc Finger
18263,Transcript_18538,"""Pfam:PF12471.4""",GTP_CH_N,GTP cyclohydrolase N terminal
18266,Transcript_18539,"""Pfam:PF08216.7""",CTNNBL,"Catenin-beta-like, Arm-motif containing nuclear"
26875,Transcript_1854,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
18268,Transcript_18540,"""Pfam:PF09756.5""",DDRGK,DDRGK domain
18273,Transcript_18541,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
18274,Transcript_18543,"""Pfam:PF00183.14""",HSP90,Hsp90 protein
18275,Transcript_18544,"""Pfam:PF13639.2""",zf-RING_2,Ring finger domain
18282,Transcript_18548,"""Pfam:PF01417.16""",ENTH,ENTH domain
18283,Transcript_18549,"""Pfam:PF00118.20""",Cpn60_TCP1,TCP-1/cpn60 chaperonin family
18284,Transcript_18550,"""Pfam:PF00641.14""",zf-RanBP,Zn-finger in Ran binding protein and others
18285,Transcript_18552,"""Pfam:PF00583.20""",Acetyltransf_1,Acetyltransferase (GNAT) family
18290,Transcript_18555,"""Pfam:PF01494.15""",FAD_binding_3,FAD binding domain
18293,Transcript_18560,"""Pfam:PF00494.15""",SQS_PSY,Squalene/phytoene synthase
18294,Transcript_18561,"""Pfam:PF04564.11""",U-box,U-box domain
18295,Transcript_18573,"""Pfam:PF03331.9""",LpxC,UDP-3-O-acyl N-acetylglycosamine deacetylase
18296,Transcript_18574,"""Pfam:PF03982.9""",DAGAT,Diacylglycerol acyltransferase
18312,Transcript_18575,"""Pfam:PF00806.15""",PUF,Pumilio-family RNA binding repeat
18313,Transcript_18579,"""Pfam:PF01062.17""",Bestrophin,"Bestrophin, RFP-TM, chloride channel"
18316,Transcript_18583,"""Pfam:PF00595.20""",PDZ,PDZ domain (Also known as DHR or GLGF)
18323,Transcript_18587,"""Pfam:PF00076.18""",RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
26882,Transcript_1859,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
18325,Transcript_18591,"""Pfam:PF00071.18""",Ras,Ras family
18335,Transcript_18593,"""Pfam:PF03016.11""",Exostosin,Exostosin family
18338,Transcript_18594,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
18350,Transcript_18599,"""Pfam:PF14966.2""",DNA_repr_REX1B,DNA repair REX1-B
24190,Transcript_186,"""Pfam:PF11175.4""",DUF2961,Protein of unknown function (DUF2961)
26883,Transcript_1860,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
18354,Transcript_18600,"""Pfam:PF01549.20""",ShK,ShK domain-like
18361,Transcript_18602,"""Pfam:PF13637.2""",Ank_4,Ankyrin repeats (many copies)
18380,Transcript_18604,"""Pfam:PF00635.22""",Motile_Sperm,MSP (Major sperm protein) domain
18382,Transcript_18608,"""Pfam:PF06068.9""",TIP49,TIP49 C-terminus
18389,Transcript_18610,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
18391,Transcript_18611,"""Pfam:PF04564.11""",U-box,U-box domain
18400,Transcript_18614,"""Pfam:PF02984.15""",Cyclin_C,"Cyclin, C-terminal domain"
18404,Transcript_18615,"""Pfam:PF02995.13""",DUF229,Protein of unknown function (DUF229)
18405,Transcript_18617,"""Pfam:PF09239.7""",Topo-VIb_trans,"Topoisomerase VI B subunit, transducer"
18410,Transcript_18618,"""Pfam:PF04130.9""",Spc97_Spc98,Spc97 / Spc98 family
18413,Transcript_18620,"""Pfam:PF13424.2""",TPR_12,Tetratricopeptide repeat
18435,Transcript_18621,"""Pfam:PF13451.2""",zf-trcl,Probable zinc-ribbon domain
